28.11.23.00.00.00.10.10.1;турбина газовая;турбина газовая (энергетическая, приводная, утилизационные, технологические) мощностью не более 5000 кВт;Штука
28.11.23.00.00.00.10.11.1;турбина газовая;турбина газовая мощностью не более 5000 кВт для гражданской авиации;Штука
28.11.23.00.00.00.10.12.1;турбина газовая;турбина газовая мощностью не более 5000 кВт для силовых судовых установок;Штука
28.11.23.00.00.00.10.13.1;турбина газовая;турбина газовая мощностью не более 5000 кВт прочие;Штука
28.11.23.00.00.00.10.14.1;турбина газовая;турбина газовая мощностью более 5000 кВт для гражданской авиации;Штука
28.11.23.00.00.00.10.15.1;турбина газовая;турбина газовая (кроме турбин газовых для гражданской авиации) мощностью более 5000 кВт, но не более 20000 кВт, прочие;Штука
28.11.23.00.00.00.10.16.1;турбина газовая;турбина газовая (кроме турбин газовых для гражданской авиации) мощностью более 20000 кВт, но не более 50000 кВт, прочие;Штука
28.11.23.00.00.00.10.17.1;турбина газовая;турбина газовая (кроме турбин газовых для гражданской авиации) мощностью более 50000 кВт прочие;Штука
28.11.24.00.00.00.10.10.1;Турбина ветряная;номинальная мощность 200 W;Штука
28.11.24.00.00.00.10.11.1;Турбина ветряная;номинальная мощность 300 W;Штука
28.11.24.00.00.00.10.12.1;Турбина ветряная;номинальная мощность 400 W;Штука
28.11.24.00.00.00.10.13.1;Турбина ветряная;номинальная мощность 500 W;Штука
28.11.24.00.00.00.10.14.1;Турбина ветряная;номинальная мощность 600 W;Штука
28.11.24.00.00.00.10.15.1;Турбина ветряная;номинальная мощность 1000 W;Штука
28.11.24.00.00.00.10.16.1;Турбина ветряная;номинальная мощность 2000 W;Штука
28.11.24.00.00.00.10.17.1;Турбина ветряная;номинальная мощность 3000 W;Штука
28.11.24.00.00.00.10.18.1;Турбина ветряная;номинальная мощность 5000 W;Штука
28.11.24.00.00.00.10.19.1;Турбина ветряная;номинальная мощность 10000 W;Штука
28.11.24.00.00.00.10.20.1;Турбина ветряная;номинальная мощность 20000 W;Штука
28.11.24.00.00.00.10.21.1;Турбина ветряная;номинальная мощность 30000 W;Штука
28.11.24.00.00.00.10.22.1;Турбина ветряная;номинальная мощность 50000 W;Штука
28.11.24.00.00.00.10.23.1;Турбина ветряная;номинальная мощность 100000 W;Штука
28.11.24.00.00.00.10.24.1;Турбина ветряная;номинальная мощность 200000 W;Штука
28.11.31.00.00.00.10.10.1;статор;статор (сердечника, станин), с сердечником изолированным лаком листом электротехнической стали (толщиной 0,35-0,5 мм при промышленной частоте сети);Штука
28.11.31.00.00.00.10.11.1;ротор;вращающаяся часть паровой турбины, компрессора, гидронасоса, гидромотора и т.д.;Штука
28.11.31.00.00.00.10.12.1;лопатки турбины;превращение потенциальной энергии сжатого пара в механическую работу;Штука
28.11.31.00.00.00.10.13.1;Части турбин, прочие;части турбин на водяном паре и прочих паровых турбин, не включенные в другие группировки, прочие;Штука
28.11.31.00.00.10.10.10.1;Диафрагма;к паровой турбине;Штука
28.11.31.00.00.10.11.10.1;Кулак регулирующего клапана;к паровой турбине;Штука
28.11.31.00.00.10.13.10.1;Обойма передних уплотнений;к паровой турбине;Штука
28.11.31.00.00.10.15.10.1;Пакет рабочих лопаток;к паровой турбине;Штука
28.11.31.00.00.10.20.10.1;Кольцо;ротора шарового затвора;Штука
28.11.31.00.00.10.25.10.1;Пружина;к паровой турбине;Штука
28.11.31.00.00.10.33.10.1;Эжектор;к паровой турбине;Штука
28.11.31.00.00.10.37.10.1;Шток;к паровой турбине;Штука
28.11.32.00.00.00.10.10.1;Части турбин гидравлических;части, включая регуляторы турбин гидравлических, колес водяных, чугунная литые или стальная литые;Штука
28.11.32.00.00.00.10.11.1;Части турбин гидравлических;части турбин гидравлических и колес водяных, кроме чугунных литых или стальных литых, прочие;Штука
28.11.33.00.00.00.10.10.1;Проточная часть;гидравлической турбины каналов, по которым протекает вода, совершая рабочий процесс;Штука
28.11.33.00.00.00.10.11.1;Статор;Несущий элемент проточной части гидравлической турбины, содержащий профилированные колонны;Штука
28.11.33.00.00.00.10.12.1;Спиральная камера;Элемент проточной части гидравлической турбины, часть которого имеет форму спирали, предназначенный для подвода воды к направляющему аппарату гидравлической турбины;Штука
28.11.33.00.00.00.10.13.1;Части турбин газовых, кроме двигателей турбореактивных и турбовинтовых;Части турбин газовых прочих;Штука
28.11.41.00.00.00.10.10.1;части двигателя внутреннего сгорания;блок-картер;Штука
28.11.41.00.00.00.10.11.1;части двигателя внутреннего сгорания;головка цилиндра;Штука
28.11.41.00.00.00.10.12.1;части двигателя внутреннего сгорания;крышка подшипника коленчатого вала;Штука
28.11.41.00.00.00.10.13.1;части двигателя внутреннего сгорания;передняя крышка блок-картера;Штука
28.11.41.00.00.00.10.14.1;части двигателя внутреннего сгорания;задняя крышка блок-картера;Штука
28.11.41.00.00.00.10.15.1;части двигателя внутреннего сгорания;масляный поддон;Штука
28.11.41.00.00.00.10.16.1;части двигателя внутреннего сгорания;поршень;Штука
28.11.41.00.00.00.10.17.1;части двигателя внутреннего сгорания;шатун;Штука
28.11.41.00.00.00.10.18.1;части двигателя внутреннего сгорания;коленчатый вал ;Штука
28.11.41.00.00.00.10.19.1;части двигателя внутреннего сгорания;маховик;Штука
28.11.41.00.00.00.10.20.1;части двигателя внутреннего сгорания;шестерня;Штука
28.11.41.00.00.00.10.21.1;части двигателя внутреннего сгорания;кулачковый распределительный вал;Штука
28.11.41.00.00.00.10.22.1;части двигателя внутреннего сгорания;части двигателя внутреннего сгорания с искровым зажиганием, прочие;Штука
28.11.42.00.00.00.10.11.1;части для дизельных двигателей внутреннего сгорания;наддувочный агрегат;Штука
28.11.42.00.00.00.10.12.1;части для дизельных двигателей внутреннего сгорания;охладитель наддувочного воздуха;Штука
28.11.42.00.00.00.10.13.1;части для дизельных двигателей внутреннего сгорания;трубопровод отработавших газов;Штука
28.11.42.00.00.00.10.14.1;части для дизельных двигателей внутреннего сгорания;трубопровод наддувочного воздуха;Штука
28.11.42.00.00.00.10.15.1;части для дизельных двигателей внутреннего сгорания;трубопровод охлаждающей воды;Штука
28.11.42.00.00.00.10.16.1;части для дизельных двигателей внутреннего сгорания;масляный трубопровод;Штука
28.11.42.00.00.00.10.17.1;части для дизельных двигателей внутреннего сгорания;топливный трубопровод;Штука
28.11.42.00.00.00.10.18.1;части для дизельных двигателей внутреннего сгорания;распределительный вал;Штука
28.11.42.00.00.00.10.19.1;части для дизельных двигателей внутреннего сгорания;приводное колесо;Штука
28.11.42.00.00.00.10.20.1;части для дизельных двигателей внутреннего сгорания;промежуточные шестерни;Штука
28.11.42.00.00.00.10.21.1;части для дизельных двигателей внутреннего сгорания;приводное колесо коленчатого вала;Штука
28.11.42.00.00.00.10.22.1;части для дизельных двигателей внутреннего сгорания;коленчатый вал;Штука
28.11.42.00.00.00.10.23.1;части для дизельных двигателей внутреннего сгорания;шатун;Штука
28.11.42.00.00.00.10.24.1;части для дизельных двигателей внутреннего сгорания;поршень;Штука
28.11.42.00.00.00.10.25.1;части для дизельных двигателей внутреннего сгорания;цилиндровая гильза;Штука
28.11.42.00.00.00.10.26.1;части для дизельных двигателей внутреннего сгорания;камера охлаждающей воды;Штука
28.11.42.00.00.00.10.27.1;части для дизельных двигателей внутреннего сгорания;крышка цилиндра;Штука
28.11.42.00.00.00.10.28.1;части для дизельных двигателей внутреннего сгорания;выпускной клапан;Штука
28.11.42.00.00.00.10.29.1;части для дизельных двигателей внутреннего сгорания;впускной клапан;Штука
